OBJECTID,STATEFP,COUNTYFP,TRACTCE,AFFGEOID,GEOID,NAME,COUNTY,StateAbbr,StateDesc,Location,E_TOTPOP,M_TOTPOP,E_DAYPOP,SPL_EJI,RPL_EJI,SPL_SER,RPL_SER,EPL_OZONE,EPL_PM,EPL_DSLPM,EPL_TOTCR,SPL_EBM_THEME1,RPL_EBM_DOM1,EPL_NPL,EPL_TRI,EPL_TSD,EPL_RMP,EPL_COAL,EPL_LEAD,SPL_EBM_THEME2,RPL_EBM_DOM2,EPL_PARK,EPL_HOUAGE,EPL_WLKIND,SPL_EBM_THEME3,RPL_EBM_DOM3,EPL_RAIL,EPL_ROAD,EPL_AIRPRT,SPL_EBM_THEME4,RPL_EBM_DOM4,EPL_IMPWTR,SPL_EBM_THEME5,RPL_EBM_DOM5,SPL_EBM,RPL_EBM,EPL_MINRTY,SPL_SVM_DOM1,RPL_SVM_DOM1,EPL_POV200,EPL_NOHSDP,EPL_UNEMP,EPL_RENTER,EPL_HOUBDN,EPL_UNINSUR,EPL_NOINT,SPL_SVM_DOM2,RPL_SVM_DOM2,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_LIMENG,SPL_SVM_DOM3,RPL_SVM_DOM3,EPL_MOBILE,EPL_GROUPQ,SPL_SVM_DOM4,RPL_SVM_DOM4,SPL_SVM,RPL_SVM,F_BPHIGH,F_ASTHMA,F_CANCER,F_MHLTH,F_DIABETES,F_HVM,RPL_HVM,E_OZONE,E_PM,E_DSLPM,E_TOTCR,E_NPL,E_TRI,E_TSD,E_RMP,E_COAL,E_LEAD,E_PARK,E_HOUAGE,E_WLKIND,E_RAIL,E_ROAD,E_AIRPRT,E_IMPWTR,EP_MINRTY,EP_POV200,EP_NOHSDP,EP_UNEMP,EP_RENTER,EP_HOUBDN,EP_UNINSUR,EP_NOINT,EP_AGE65,EP_AGE17,EP_DISABL,EP_LIMENG,EP_MOBILE,EP_GROUPQ,EP_BPHIGH,EP_ASTHMA,EP_CANCER,EP_MHLTH,EP_DIABETES,EPL_BPHIGH,EPL_ASTHMA,EPL_CANCER,EPL_DIABETES,EPL_MHLTH,Shape_Length,Shape_Area,geoid,census_tract_name,total,white,black,asian,latino,other,percent_white,percent_black,percent_asian,percent_latino,percent_other
47441,37,001,020100,1400000US37001020100,37001020100,201,Alamance,NC,North Carolina,"Census Tract 201, Alamance County, North Carolin",4058,311,7533,2.2536,0.8946,1.4536,0.8125,0,0.6302,0.5115,0.724,1.8657,0.4982,0,0.834,0,0,0,0,0.834,0.5058,0.3853,0.8487,0.4186,1.6526,0.5769,0.6932,0.7666,0,1.4598,0.7174,0.4613,0.4613,0.4613,6.2734,0.5782,0.6091,0.6091,0.6091,0.7741,0.6687,0.8105,0.805,0.6672,0.7234,0.7904,5.2393,0.8439,0.4636,0.487,0.7848,0.4935,2.2289,0.6908,0.5509,0.7622,1.3131,0.7796,9.3904,0.8754,1,1,0,1,1,4,0.8,0,9.52,0.41,36.42,0,98.18,0,0,0,0,100,88.56,10.54,83.72,100,0,41.91,40.5,46.379,14.2,8.4,57.3,32.0265,11.3,26.7,15.1,21.9,17.5,1.3,1.2,1.7,36.5,10.5,7.1,15.7,13,0.7453,0.6964,0.5871,0.7369,0.6859,0.102937226,0.000454478,1400000US37001020100,"Census Tract 201, Alamance County, North Carolina",4058,2415,1138,72,384,49,0.595120749,0.280433711,0.01774273,0.094627896,0.012074914
47442,37,001,020200,1400000US37001020200,37001020200,202,Alamance,NC,North Carolina,"Census Tract 202, Alamance County, North Carolin",4093,523,2347,2.342,0.9179,1.542,0.8567,0,0.6302,0.5237,0.6915,1.8454,0.4894,0,0.8577,0,0,0,0,0.8577,0.5172,0.3853,0.7927,0.5401,1.7181,0.6294,0.7891,0.7468,0,1.5359,0.7672,0.2329,0.2329,0.2329,6.19,0.5599,0.7685,0.7685,0.7685,0.9804,0.9128,0.8883,0.8213,0.8976,0.8804,0.9468,6.3276,0.9842,0.2416,0.8824,0.8316,0.8814,2.837,0.9703,0,0.7932,0.7932,0.4702,10.7263,0.9821,1,1,0,1,1,4,0.8,0,9.52,0.42,35.58,0,100,0,0,0,0,100,84.63,8.58,100,99.37,0,10.64,63.9,74.3074,28.1,10.5,59.2,45.2055,16.8,39.7,11.2,29.1,18.7,10.7,0,2.1,40.5,11.7,6.3,19.1,17,0.8716,0.8798,0.4075,0.9252,0.9097,0.084321385,0.000345007,1400000US37001020200,"Census Tract 202, Alamance County, North Carolina",4093,1477,1197,182,1162,75,0.360860005,0.292450525,0.044466162,0.28389934,0.018323968
47443,37,001,020300,1400000US37001020300,37001020300,203,Alamance,NC,North Carolina,"Census Tract 203, Alamance County, North Carolin",7400,751,8973,2.3963,0.9314,1.5963,0.8821,0,0.6269,0.4441,0.6555,1.7265,0.4384,0,0.804,0,0.8688,0,0,1.6728,0.814,0.4113,0.5462,0.6484,1.6059,0.5385,0.5641,0.6515,0,1.2156,0.582,0.2174,0.2174,0.2174,6.4382,0.6145,0.8289,0.8289,0.8289,0.8986,0.8979,0.6579,0.5725,0.5082,0.9396,0.6195,5.0942,0.8201,0.6906,0.8091,0.5851,0.9109,2.9957,0.9888,0.8964,0.9043,1.8007,0.9842,10.7195,0.9818,1,1,0,1,1,4,0.8,0,9.51,0.36,34.74,0,92.34,0,36.2,0,0,98.72,65.31,7.33,49.67,85.16,0,8.66,75.2,58.47,26.5,6.2,36.4,26.483,21.3,20.1,18.9,27.1,13.8,13.4,20.1,5,40.5,10.8,7.2,16.3,15.9,0.8716,0.7575,0.6113,0.894,0.7418,0.157103232,0.001138948,1400000US37001020300,"Census Tract 203, Alamance County, North Carolina",7400,1833,2138,0,3260,169,0.247702703,0.288918919,0,0.440540541,0.022837838
47444,37,001,020400,1400000US37001020400,37001020400,204,Alamance,NC,North Carolina,"Census Tract 204, Alamance County, North Carolin",6746,710,2574,2.0858,0.8472,1.2858,0.7195,0,0.6137,0.3242,0.6614,1.5993,0.3808,0,0.6342,0,0,0,0,0.6342,0.3903,0.555,0.512,0.7427,1.8097,0.6935,0.3949,0.3904,0,0.7853,0.3664,0.2599,0.2599,0.2599,5.0884,0.308,0.8592,0.8592,0.8592,0.9027,0.7568,0.8062,0.649,0.8338,0.8769,0.9345,5.7599,0.9223,0.1874,0.935,0.5311,0.8045,2.458,0.8427,0.802,0.7346,1.5366,0.8961,10.6137,0.9778,1,1,0,1,1,4,0.8,0,9.47,0.28,34.88,0,43.07,0,0,0,0,63.31,62.54,6.27,17.47,30.05,0,14.09,81.2,59.0714,17.5,8.3,42.2,40.3935,16.6,37.8,10.1,31.4,13,6.4,10.9,1.4,44.7,11.8,6.1,17.2,18.8,0.9416,0.8887,0.3665,0.9564,0.8115,0.181554184,0.001183035,1400000US37001020400,"Census Tract 204, Alamance County, North Carolina",6746,1271,3952,0,1420,103,0.188407945,0.585828639,0,0.210495108,0.015268307
47445,37,001,020501,1400000US37001020501,37001020501,205.01,Alamance,NC,North Carolina,"Census Tract 205.01, Alamance County, North Caro",3819,486,2333,1.0904,0.4081,1.0904,0.5874,0.325,0.6204,0.3242,0.6461,1.9157,0.5188,0,0.7984,0,0,0,0,0.7984,0.4875,0.7697,0.2837,0.7009,1.7543,0.6542,0.694,0,0,0.694,0.2727,0.3782,0.3782,0.3782,5.5406,0.41,0.5019,0.5019,0.5019,0.6245,0.4284,0.8338,0.4353,0.3806,0.7846,0.6474,4.1346,0.6415,0.4954,0.5902,0.3659,0.7591,2.2106,0.6761,0.721,0.3832,1.1042,0.6995,7.9513,0.6804,0,0,0,0,0,0,0,0.33,9.49,0.28,34.52,0,90.97,0,0,0,0,8.12,42.16,6.75,83.9,0,0,29.82,30,36.5298,8.4,8.9,27.7,22.9081,13,21,15.6,23.3,10.7,4.9,6,0.1,33.2,10.2,6.5,15.4,11,0.5771,0.6245,0.4494,0.5359,0.6567,0.137688002,0.000720354,1400000US37001020501,"Census Tract 205.01, Alamance County, North Carolina",3819,2672,507,55,553,32,0.699659597,0.132757266,0.014401676,0.144802304,0.008379157
47446,37,001,020502,1400000US37001020502,37001020502,205.02,Alamance,NC,North Carolina,"Census Tract 205.02, Alamance County, North Caro",4012,348,2531,2.0935,0.8497,1.2935,0.7242,0,0.617,0.3702,0.6694,1.6566,0.4081,0,0.7727,0,0,0,0,0.7727,0.4739,0.4975,0.3637,0.6264,1.4876,0.432,0.6929,0.3556,0,1.0485,0.5061,0.2306,0.2306,0.2306,5.196,0.3319,0.7965,0.7965,0.7965,0.771,0.9087,0.8909,0.7262,0.6631,0.8666,0.9284,5.7549,0.9215,0.1353,0.9064,0.3298,0.8045,2.176,0.6474,0.7919,0.7932,1.5851,0.9196,10.3125,0.9616,1,1,0,1,1,4,0.8,0,9.48,0.31,35.07,0,83.9,0,0,0,0,81.08,49.78,7.56,83.64,24.44,0,10.4,69,46.1422,27.6,10.6,49,31.8689,16.1,37,8.9,30,10.2,6.4,10.2,2.1,38.3,11.3,5.5,17.4,14.3,0.8121,0.836,0.257,0.8244,0.8245,0.113632018,0.00055035,1400000US37001020502,"Census Tract 205.02, Alamance County, North Carolina",4012,1245,1393,93,941,340,0.310319043,0.347208375,0.023180459,0.234546361,0.084745763
47447,37,001,020601,1400000US37001020601,37001020601,206.01,Alamance,NC,North Carolina,"Census Tract 206.01, Alamance County, North Caro",3113,164,5551,0.9987,0.3539,0.5987,0.2096,0.325,0.6302,0.4295,0.7403,2.125,0.5975,0,0.5409,0,0,0,0,0.5409,0.3433,0.7167,0.7151,0.6823,2.1141,0.8766,0.5682,0.6119,0,1.1801,0.5654,0.3552,0.3552,0.3552,6.3153,0.5874,0.1309,0.1309,0.1309,0.0703,0.1727,0.0151,0.0516,0.0803,0.1305,0.2102,0.7307,0.0248,0.9407,0.212,0.3217,0.2137,1.6881,0.2442,0,0,0,0,2.5497,0.0113,1,0,1,0,0,2,0.4,0.33,9.52,0.35,36.85,0,21.39,0,0,0,0,17.39,78.81,6.94,50.72,76.45,0,26.84,6.6,8.4306,4,0.6,7.6,14.0312,2.5,8.6,27.8,17.5,10.1,0.2,0,0,35.7,8,10.4,9.2,10.1,0.7094,0.0719,0.9784,0.4209,0.0411,0.103464761,0.000561858,1400000US37001020601,"Census Tract 206.01, Alamance County, North Carolina",3113,2909,29,17,113,45,0.934468358,0.009315773,0.00546097,0.03629939,0.014455509
47448,37,001,020602,1400000US37001020602,37001020602,206.02,Alamance,NC,North Carolina,"Census Tract 206.02, Alamance County, North Caro",2638,244,3195,1.2566,0.5015,0.8566,0.4006,0,0.6269,0.4583,0.6725,1.7577,0.4515,0,0.6986,0,0,0,0,0.6986,0.4316,0.4258,0.5166,0.633,1.5754,0.5127,0.6171,0.5502,0,1.1673,0.5595,0.4895,0.4895,0.4895,5.6885,0.4441,0.236,0.236,0.236,0.3249,0.1604,0.0804,0.5266,0.266,0.3283,0.5778,2.2644,0.2428,0.9616,0.1832,0.8724,0.4203,2.4375,0.8313,0.5113,0.8486,1.3599,0.8032,6.2978,0.4125,1,0,1,0,0,2,0.4,0,9.51,0.37,35.14,0,61.79,0,0,0,0,97.08,62.91,7.5,63.46,62.46,0,46.02,11.7,21.4789,3.8,1.7,33.3,19.8697,4.8,18.8,30.8,16.8,20,0.9,0.8,3.1,36,8.5,10,10.7,10.5,0.7232,0.1594,0.9707,0.4731,0.1393,0.087066241,0.000281521,1400000US37001020602,"Census Tract 206.02, Alamance County, North Carolina",2638,2330,98,24,171,15,0.883244882,0.037149356,0.009097801,0.064821835,0.005686126
47449,37,001,020701,1400000US37001020701,37001020701,207.01,Alamance,NC,North Carolina,"Census Tract 207.01, Alamance County, North Caro",4973,369,9939,1.4908,0.6184,1.0908,0.5878,0,0.6337,0.4853,0.8192,1.9382,0.5283,0,0.8017,0,0,0,0,0.8017,0.4892,0.7357,0.2251,0.5031,1.4639,0.4093,0,0.7453,0.9571,1.7024,0.9096,0.1692,0.1692,0.1692,6.0754,0.5341,0.4463,0.4463,0.4463,0.4987,0.3407,0.3739,0.5857,0.5637,0.4891,0.5809,3.4327,0.4888,0.8278,0.1724,0.4962,0.5373,2.0337,0.5235,0.5509,0.7121,1.263,0.7575,7.1757,0.5567,1,0,1,0,0,2,0.4,0,9.53,0.39,39.13,0,91.73,0,0,0,0,13.78,35.67,9.08,0,99.29,36.24,3.58,25.3,29.8701,6.8,3.9,37.4,28.2315,6.9,18.9,22,16.5,12.5,1.6,1.2,1.2,35.8,9,9.1,11.7,11.3,0.7141,0.2831,0.9332,0.5716,0.238,0.110728646,0.000681936,1400000US37001020701,"Census Tract 207.01, Alamance County, North Carolina",4973,3716,563,14,455,225,0.747235069,0.113211341,0.002815202,0.091494068,0.045244319
47450,37,001,020702,1400000US37001020702,37001020702,207.02,Alamance,NC,North Carolina,"Census Tract 207.02, Alamance County, North Caro",4941,409,3907,1.9336,0.798,1.3336,0.7475,0,0.6337,0.4723,0.71,1.816,0.4769,0,0.7702,0,0,0,0,0.7702,0.4724,0.6201,0.4355,0.5426,1.5982,0.5322,0,0.6332,0.9787,1.6119,0.8959,0.2401,0.2401,0.2401,6.0364,0.5252,0.6765,0.6765,0.6765,0.8298,0.7272,0.9376,0.8674,0.771,0.7195,0.7219,5.5744,0.896,0.5497,0.4497,0.3366,0.6217,1.9577,0.4534,0.6497,0,0.6497,0.3682,8.8583,0.8084,0,1,0,1,1,3,0.6,0,9.53,0.38,36.07,0,83.24,0,0,0,0,42.66,55.98,8.54,0,81.16,70.1,11.53,49.2,51.1233,16.3,13,65.6,36.739,11.2,23.7,16.5,21.4,10.3,2.4,3,0,33.9,10.8,6.5,17,12.4,0.6164,0.7575,0.4494,0.6853,0.7971,0.130179225,0.000755514,1400000US37001020702,"Census Tract 207.02, Alamance County, North Carolina",4941,2508,1548,0,885,0,0.507589557,0.313296903,0,0.17911354,0
